SerialNumber, acc: x_acc, y_acc, z_acc, gyro: x_value, y_value, z_value
352, 7704, -1.08, -0.27, 0.65
353, 7727, -1.26, 0.47, 1.10
354, 7750, -0.23, 0.24, 0.98
355, 7773, -0.04, -0.23, 0.87
356, 7796, -0.52, -0.24, 0.88
357, 7820, -0.61, 0.09, 0.91
358, 7843, -0.11, 0.08, 1.01
359, 7868, 0.32, 0.08, 1.07
360, 7891, 0.25, -0.03, 1.02
361, 7914, -0.06, -0.11, 0.99
362, 7938, -0.16, 0.01, 0.98
363, 7961, -0.01, 0.01, 1.11
364, 7984, 0.22, -0.08, 1.09
365, 8007, 0.11, -0.07, 1.08
366, 8031, 0.03, 0.09, 1.29
367, 8054, 0.16, 0.05, 1.47
368, 8077, 0.43, -0.02, 1.44
369, 8100, 0.37, 0.07, 1.40
370, 8124, 0.22, 0.15, 1.17
371, 8147, 0.10, 0.37, 0.99
372, 8170, 0.11, 0.72, 0.74
373, 8193, 0.04, 0.86, 0.55
374, 8217, 0.32, 0.99, 1.09
375, 8240, 0.93, 0.96, 1.46
376, 8265, 0.08, 0.08, 1.29
377, 8288, -0.72, 0.07, 0.66
378, 8311, -1.16, -0.13, -0.28
379, 8335, -0.84, -0.63, 0.05
380, 8358, -0.54, -0.52, 0.49
381, 8381, -0.60, -0.70, 0.60
382, 8404, -0.68, -0.94, 0.49
383, 8428, -0.75, -0.84, 0.50
384, 8451, -0.61, -1.02, 0.72
385, 8474, -0.07, -1.19, 1.17
386, 8497, 0.35, -0.43, 0.53
387, 8520, -0.15, 0.36, 0.55
388, 8544, -0.76, 0.99, 0.23
389, 8567, -0.18, 0.23, 1.35
390, 8590, -0.11, -0.32, 0.95
391, 8613, -0.41, -0.34, 0.65
392, 8637, -0.21, -0.34, 1.11
393, 8662, 0.03, -0.03, 0.51
394, 8685, 0.98, 0.99, 0.55
395, 8708, 0.41, 0.02, 0.63
396, 8731, -0.21, -0.56, 0.28
397, 8755, -1.18, -0.55, 0.73
398, 8778, -1.48, 0.45, 1.27
399, 8801, -0.36, 0.21, 0.83
400, 8824, -0.13, -0.23, 0.69
401, 8847, -0.57, -0.15, 0.79
402, 8871, -0.48, 0.13, 0.99
403, 8894, -0.00, 0.01, 1.12
404, 8917, 0.22, 0.04, 1.08
405, 8940, 0.09, 0.01, 0.98
406, 8964, -0.06, -0.09, 1.02
407, 8987, -0.05, 0.01, 1.02
408, 9010, 0.13, 0.00, 1.18
409, 9033, 0.19, -0.09, 1.13
410, 9058, 0.01, -0.08, 1.09
411, 9082, -0.01, 0.12, 1.26
412, 9105, 0.18, 0.05, 1.48
413, 9128, 0.36, 0.00, 1.38
414, 9151, 0.35, 0.07, 1.35
415, 9175, 0.32, 0.27, 1.08
416, 9198, 0.29, 0.40, 0.94
417, 9221, 0.11, 0.54, 0.78
418, 9244, 0.15, 0.90, 0.58
419, 9268, 0.29, 0.99, 1.21
420, 9291, 0.92, 0.99, 1.44
421, 9314, 0.07, 0.08, 1.35
422, 9337, -1.03, 0.06, 0.75
423, 9361, -1.42, -0.13, -0.24
424, 9384, -0.96, -0.60, 0.15
425, 9407, -0.53, -0.57, 0.52
426, 9430, -0.63, -0.82, 0.65
427, 9455, -0.89, -0.98, 0.51
428, 9478, -0.89, -0.93, 0.54
429, 9502, -0.71, -1.09, 0.67
430, 9525, -0.24, -1.39, 1.03
431, 9548, 0.26, -0.93, 0.84
432, 9571, 0.13, 0.07, 0.49
433, 9595, -0.15, 0.99, 0.72
434, 9618, -0.63, 0.72, 0.94
435, 9641, -0.14, 0.04, 1.06
436, 9664, -0.72, -0.42, 0.61
437, 9688, -0.31, -0.38, 1.02
438, 9711, -0.25, -0.06, 0.59
439, 9734, 1.08, 0.99, 1.21
440, 9757, 0.63, 0.58, 0.66
441, 9781, 0.19, -0.39, 0.60
442, 9804, -0.81, -0.45, 0.37
443, 9827, -1.37, -0.03, 1.15
444, 9852, -0.71, 0.46, 1.06
445, 9875, 0.05, 0.11, 0.78
446, 9898, -0.17, -0.34, 0.83
447, 9922, -0.64, -0.11, 0.89
448, 9945, -0.43, 0.15, 0.98
449, 9968, 0.10, 0.08, 1.02
450, 9991, 0.21, -0.01, 1.02
451, 10015, 0.07, -0.06, 0.93
452, 10038, -0.02, -0.08, 0.99
453, 10061, -0.09, 0.04, 1.10
454, 10084, 0.12, -0.03, 1.18
455, 10108, 0.19, -0.12, 1.08
456, 10131, -0.01, 0.04, 1.21
457, 10154, 0.08, 0.10, 1.46
458, 10177, 0.38, -0.00, 1.53
459, 10201, 0.41, -0.00, 1.41
460, 10224, 0.34, 0.18, 1.35
461, 10249, 0.33, 0.33, 1.02
462, 10272, 0.12, 0.63, 0.82
463, 10296, 0.21, 0.89, 0.64
464, 10319, 0.18, 0.98, 0.84
465, 10342, 0.92, 0.99, 1.21
466, 10365, 0.40, 0.31, 1.67
467, 10389, -0.64, -0.02, 0.92
468, 10412, -1.29, 0.09, -0.07
469, 10435, -0.94, -0.59, -0.24
470, 10458, -0.40, -0.55, 0.37
471, 10482, -0.39, -0.68, 0.66
472, 10505, -0.65, -0.91, 0.56
473, 10528, -0.92, -0.91, 0.35
474, 10551, -0.70, -1.09, 0.56
475, 10575, -0.16, -1.31, 1.06
476, 10598, 0.40, -0.61, 0.53
477, 10629, -0.11, 0.87, 0.33
478, 10652, -0.54, 0.99, 0.86
479, 10675, -0.21, -0.06, 1.52
480, 10698, -0.33, -0.39, 0.65
481, 10722, -0.60, -0.57, 0.78
482, 10745, -0.91, -0.25, 0.64
483, 10768, 0.44, -0.23, 0.57
484, 10791, 0.75, 0.99, 0.54
485, 10814, 0.40, -0.00, 0.77
486, 10838, -0.42, -0.56, 0.13
487, 10861, -1.56, -0.42, 0.72
488, 10884, -1.24, 0.43, 1.23
489, 10907, -0.26, 0.26, 0.89
490, 10931, -0.18, -0.18, 0.83
491, 10954, -0.52, -0.23, 0.77
492, 10977, -0.31, 0.12, 0.89
493, 11002, 0.15, 0.16, 1.01
494, 11025, 0.30, 0.03, 1.03
495, 11049, 0.11, -0.09, 1.03
496, 11072, -0.04, -0.14, 0.96
497, 11095, -0.12, 0.00, 1.00
498, 11118, 0.03, 0.02, 1.21
499, 11141, 0.17, -0.07, 1.16
500, 11165, 0.11, -0.05, 1.24
501, 11188, 0.20, 0.03, 1.37
502, 11211, 0.36, 0.03, 1.43
503, 11234, 0.40, -0.02, 1.51
504, 11257, 0.33, 0.18, 1.49
505, 11281, 0.34, 0.25, 1.09
506, 11304, 0.20, 0.60, 0.80
507, 11327, 0.12, 0.81, 0.54
508, 11350, -0.01, 0.89, 0.81
509, 11373, 0.80, 0.99, 1.26
510, 11398, 0.35, 0.46, 1.73
511, 11421, -0.40, -0.02, 1.00
512, 11445, -1.05, 0.08, 0.12
513, 11468, -1.01, -0.62, -0.29
514, 11491, -0.68, -0.58, 0.30
515, 11514, -0.58, -0.57, 0.59
516, 11537, -0.68, -0.92, 0.55
517, 11560, -0.75, -0.89, 0.46
518, 11583, -0.68, -0.99, 0.64
519, 11607, -0.23, -1.20, 1.05
520, 11630, 0.33, -0.84, 0.94
521, 11653, 0.14, 0.06, 0.52
522, 11676, -0.37, 0.99, 0.27
523, 11699, -0.47, 0.68, 0.90
524, 11722, -0.10, -0.15, 1.18
525, 11746, -0.23, -0.39, 0.64
526, 11771, -0.58, -0.40, 0.75
527, 11794, -0.77, -0.14, 0.62
528, 11817, 0.86, -0.02, 0.67
529, 11840, 0.75, 0.99, 0.61
530, 11863, 0.24, -0.16, 0.83
531, 11886, -0.53, -0.54, 0.16
532, 11910, -1.49, -0.34, 0.77
533, 11933, -1.10, 0.38, 1.12
